"Journal name","JCR Abbreviation","Publisher","ISSN","eISSN","Category","Edition","Total Citations","2023 JIF","JIF Quartile","2023 JCI","% of Citable OA","Journal"
"JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION","J EXP ZOOL PART B","WILEY","1552-5007","1552-5015","EVOLUTIONARY BIOLOGY","SCIE","1,498","1.8","Q3","0.66","31.09%","journal of experimental zoology part b-molecular and developmental evolution"
"EVOLUTIONARY ECOLOGY","EVOL ECOL","SPRINGER","0269-7653","1573-8477","EVOLUTIONARY BIOLOGY","SCIE","3,285","1.8","Q3","0.49","30.51%","evolutionary ecology"
"American Journal of Biological Anthropology","AM J BIOL ANTHROPOL","WILEY","2692-7691","2692-7691","EVOLUTIONARY BIOLOGY","SCIE","431","1.7","Q4","0.95","36.05%","american journal of biological anthropology"
"Evolutionary Bioinformatics","EVOL BIOINFORM","SAGE PUBLICATIONS LTD","1176-9343","1176-9343","EVOLUTIONARY BIOLOGY","SCIE","1,127","1.7","Q4","0.46","90.54%","evolutionary bioinformatics"
"AUSTRALIAN SYSTEMATIC BOTANY","AUST SYST BOT","CSIRO PUBLISHING","1030-1887","1446-5701","EVOLUTIONARY BIOLOGY","SCIE","784","1.5","Q4","0.45","64.15%","australian systematic botany"
"PLANT SYSTEMATICS AND EVOLUTION","PLANT SYST EVOL","SPRINGER WIEN","0378-2697","1615-6110","EVOLUTIONARY BIOLOGY","SCIE","4,398","1.5","Q4","0.45","15.44%","plant systematics and evolution"
"BIOCHEMICAL SYSTEMATICS AND ECOLOGY","BIOCHEM SYST ECOL","PERGAMON-ELSEVIER SCIENCE LTD","0305-1978","1873-2925","EVOLUTIONARY BIOLOGY","SCIE","4,585","1.4","Q4","0.38","1.59%","biochemical systematics and ecology"
"INSECT SYSTEMATICS & EVOLUTION","INSECT SYST EVOL","BRILL","1399-560X","1876-312X","EVOLUTIONARY BIOLOGY","SCIE","449","1.3","Q4","0.54","4.08%","insect systematics & evolution"
"Israel Journal of Ecology & Evolution","ISR J ECOL EVOL","BRILL","1565-9801","2224-4662","EVOLUTIONARY BIOLOGY","SCIE","337","1.3","Q4","0.39","0.00%","israel journal of ecology & evolution"
"THEORETICAL POPULATION BIOLOGY","THEOR POPUL BIOL","ACADEMIC PRESS INC ELSEVIER SCIENCE","0040-5809","1096-0325","EVOLUTIONARY BIOLOGY","SCIE","3,616","1.2","Q4","0.35","39.39%","theoretical population biology"
"SYSTEMATIC BOTANY","SYST BOT","AMER SOC PLANT TAXONOMISTS","0363-6445","1548-2324","EVOLUTIONARY BIOLOGY","SCIE","2,634","0.9","Q4","0.28","2.61%","systematic botany"
"DEVELOPMENT GENES AND EVOLUTION","DEV GENES EVOL","SPRINGER","0949-944X","1432-041X","EVOLUTIONARY BIOLOGY","SCIE","1,396","0.8","Q4","0.43","35.14%","development genes and evolution"
"JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY","J EVOL BIOCHEM PHYS+","PLEIADES PUBLISHING INC","0022-0930","1608-3202","EVOLUTIONARY BIOLOGY","SCIE","559","0.6","Q4","0.15","1.43%","journal of evolutionary biochemistry and physiology"
"Ideas in Ecology and Evolution","IDEAS ECOL EVOL","QUEENS UNIV","1918-3178","1918-3178","EVOLUTIONARY BIOLOGY","ESCI","46","0.2","Q4","0.08","100.00%","ideas in ecology and evolution"
"ISME Journal","ISME J","OXFORD UNIV PRESS","1751-7362","1751-7370","ECOLOGY","SCIE","38,921","10.8","Q1","2.70","71.01%","isme journal"
"GLOBAL CHANGE BIOLOGY","GLOBAL CHANGE BIOL","WILEY","1354-1013","1365-2486","ECOLOGY","SCIE","68,872","10.8","Q1","2.50","39.19%","global change biology"
"FRONTIERS IN ECOLOGY AND THE ENVIRONMENT","FRONT ECOL ENVIRON","WILEY","1540-9295","1540-9309","ECOLOGY","SCIE","12,940","10.0","Q1","1.88","55.69%","frontiers in ecology and the environment"
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","ELSEVIER","0169-2046","1872-6062","ECOLOGY","SCIE","28,178","7.9","Q1","2.37","38.21%","landscape and urban planning"
"ECOLOGY LETTERS","ECOL LETT","WILEY","1461-023X","1461-0248","ECOLOGY","SCIE","38,676","7.6","Q1","2.12","39.03%","ecology letters"
"ECOLOGICAL MONOGRAPHS","ECOL MONOGR","WILEY","0012-9615","1557-7015","ECOLOGY","SCIE","12,058","7.1","Q1","1.71","41.86%","ecological monographs"
"ECOLOGICAL ECONOMICS","ECOL ECON","ELSEVIER","0921-8009","1873-6106","ECOLOGY","SCIE","33,848","6.6","Q1","1.59","34.90%","ecological economics"
"INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY","INT J SUST DEV WORLD","TAYLOR & FRANCIS INC","1350-4509","1745-2627","ECOLOGY","SCIE","3,530","6.5","Q1","1.50","12.57%","international journal of sustainable development and world ecology"
"GLOBAL ECOLOGY AND BIOGEOGRAPHY","GLOBAL ECOL BIOGEOGR","WILEY","1466-822X","1466-8238","ECOLOGY","SCIE","17,773","6.3","Q1","1.78","38.01%","global ecology and biogeography"
"Methods in Ecology and Evolution","METHODS ECOL EVOL","WILEY","2041-210X","2041-2096","ECOLOGY","SCIE","24,990","6.3","Q1","1.72","63.93%","methods in ecology and evolution"
"Ecosystem Services","ECOSYST SERV","ELSEVIER","2212-0416","2212-0416","ECOLOGY","SCIE","10,146","6.1","Q1","1.42","40.46%","ecosystem services"
"AGRICULTURE ECOSYSTEMS & ENVIRONMENT","AGR ECOSYST ENVIRON","ELSEVIER","0167-8809","1873-2305","ECOLOGY","SCIE","33,081","6.0","Q1","1.72","21.56%","agriculture ecosystems & environment"
"Ecological Informatics","ECOL INFORM","ELSEVIER","1574-9541","1878-0512","ECOLOGY","SCIE","8,073","5.9","Q1","1.69","19.08%","ecological informatics"
"Current Opinion in Insect Science","CURR OPIN INSECT SCI","ELSEVIER","2214-5745","2214-5753","ECOLOGY","SCIE","5,103","5.8","Q1","1.91","25.17%","current opinion in insect science"
"ECOGRAPHY","ECOGRAPHY","WILEY","0906-7590","1600-0587","ECOLOGY","SCIE","16,940","5.4","Q1","1.37","78.80%","ecography"
"JOURNAL OF ECOLOGY","J ECOL","WILEY","0022-0477","1365-2745","ECOLOGY","SCIE","24,354","5.4","Q1","1.36","43.54%","journal of ecology"
"CONSERVATION BIOLOGY","CONSERV BIOL","WILEY","0888-8892","1523-1739","ECOLOGY","SCIE","22,093","5.2","Q1","1.34","50.96%","conservation biology"
"ISME Communications","ISME COMMUN","SPRINGERNATURE","N/A","2730-6151","ECOLOGY","ESCI","1,158","5.2","Q1","1.24","98.20%","isme communications"
"BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY","B AM MUS NAT HIST","AMER MUSEUM NATURAL HISTORY","0003-0090","1937-3546","ECOLOGY","SCIE","2,560","5.1","Q1","1.04","0.00%","bulletin of the american museum of natural history"
"JOURNAL OF APPLIED ECOLOGY","J APPL ECOL","WILEY","0021-8901","1365-2664","ECOLOGY","SCIE","25,157","5.0","Q1","1.34","46.20%","journal of applied ecology"
"BIOLOGICAL CONSERVATION","BIOL CONSERV","ELSEVIER SCI LTD","0006-3207","1873-2917","ECOLOGY","SCIE","38,530","4.9","Q1","1.32","35.51%","biological conservation"
"Acta Ecologica Sinica","ACTA ECOL SINICA","ELSEVIER","1872-2032","1872-2032","ECOLOGY","ESCI","3,594","4.7","Q1","0.77","1.17%","acta ecologica sinica"
"DIVERSITY AND DISTRIBUTIONS","DIVERS DISTRIB","WILEY","1366-9516","1472-4642","ECOLOGY","SCIE","11,740","4.6","Q1","1.29","74.79%","diversity and distributions"
"FUNCTIONAL ECOLOGY","FUNCT ECOL","WILEY","0269-8463","1365-2435","ECOLOGY","SCIE","20,496","4.6","Q1","1.25","36.99%","functional ecology"
"Ecological Processes","ECOL PROCESS","SPRINGER","N/A","2192-1709","ECOLOGY","SCIE","2,179","4.6","Q1","0.96","100.00%","ecological processes"
"Soil Ecology Letters","SOIL ECOL LETT","SPRINGERNATURE","2662-2289","2662-2297","ECOLOGY","ESCI","648","4.5","Q1","1.00","6.61%","soil ecology letters"
"ECOLOGY","ECOLOGY","WILEY","0012-9658","1939-9170","ECOLOGY","SCIE","58,947","4.4","Q1","1.22","31.52%","ecology"
"WILDLIFE MONOGRAPHS","WILDLIFE MONOGR","WILEY","0084-0173","1938-5455","ECOLOGY","SCIE","677","4.3","Q1","1.92","28.57%","wildlife monographs"
"ECOLOGICAL APPLICATIONS","ECOL APPL","WILEY","1051-0761","1939-5582","ECOLOGY","SCIE","22,085","4.3","Q1","1.12","36.70%","ecological applications"
"MAMMAL REVIEW","MAMMAL REV","WILEY","0305-1838","1365-2907","ECOLOGY","SCIE","2,854","4.3","Q1","1.05","36.17%","mammal review"
"People and Nature","PEOPLE NAT","WILEY","N/A","2575-8314","ECOLOGY","SCIE","2,265","4.2","Q1","1.39","81.40%","people and nature"
"Ecosystem Health and Sustainability","ECOSYST HEALTH SUST","AMER ASSOC ADVANCEMENT SCIENCE","2096-4129","2332-8878","ECOLOGY","SCIE","1,140","4.2","Q1","0.89","99.17%","ecosystem health and sustainability"
"LANDSCAPE ECOLOGY","LANDSCAPE ECOL","SPRINGER","0921-2973","1572-9761","ECOLOGY","SCIE","12,583","4.0","Q1","1.12","35.67%","landscape ecology"
"Biogeosciences","BIOGEOSCIENCES","COPERNICUS GESELLSCHAFT MBH","1726-4170","1726-4189","ECOLOGY","SCIE","22,834","3.9","Q1","1.20","99.33%","biogeosciences"
"Remote Sensing in Ecology and Conservation","REMOTE SENS ECOL CON","WILEY","N/A","2056-3485","ECOLOGY","SCIE","1,495","3.9","Q1","1.03","76.83%","remote sensing in ecology and conservation"
"ECOLOGICAL ENGINEERING","ECOL ENG","ELSEVIER","0925-8574","1872-6992","ECOLOGY","SCIE","21,468","3.9","Q1","0.75","15.70%","ecological engineering"
"NeoBiota","NEOBIOTA","PENSOFT PUBLISHERS","1619-0033","1314-2488","ECOLOGY","SCIE","1,608","3.8","Q1","1.16","97.79%","neobiota"
"Plants People Planet","PLANTS PEOPLE PLANET","WILEY","N/A","2572-2611","ECOLOGY","SCIE","1,335","3.7","Q1","1.06","91.29%","plants people planet"
